DC_CODE,DC_NAME,DC_TYPE,FACILITY_TYPE,ADDRESS,URL_GMAPS,AREA_SQM,AREA_LAHAN,AREA_GUDANG,REGION_OPERATION,OWNERSHIP_STATUS,END_CONTRACT_PERIOD,LAT,LONG,SHELVE_TOTAL,PALLET_TOTAL,QTY_MAX_CAPACITY,ADDRESS_ODOO,DISTRICT_NAME,CITY_NAME,STATE_NAME,POSTAL_CODE,COUNTRY_NAME,SJB_CLUSTER_NAME,SALES_CLUSTER_NAME,REGION_OPERATION_NAME,CREATE_TIMESTAMP
D25,DC SOLO,DC,DC,ACTIVE,"Jalan Indronoto No. A3 Dusun II, Wirogunan, Kartasura, Kab. Sukoharjo 57178",https://maps.app.goo.gl/vsh5ECNfWxwgqrww9,,3687,,Lease,07/03/2027,-7.56,"110,83",1073156,307,,KARTASURA,SUKOHARJO,JAWA TENGAH,,,"2 Oct, 2018, 02:20",v,,1024,307
D30,DC KEDIRI,RDC,DC,ACTIVE,"Jalan Raung no 40D, Gg Taman Kemuning, Bandar Kidul, Kediri Kota(Gudang no 3 samping SPBU Muning)",https://maps.app.goo.gl/5LDk3GUq9MdhMg1G6,,7650,,Lease,13/07/2027,-7.82,"112,01",1651216,502,,MOJOROTO,KEDIRI,JAWA TIMUR,,,"2 Oct, 2018, 02:20",v,,344,472
D12,DC JEMBER,RDC,DC,ACTIVE,Jalan Wolter Monginsidi No. 167 - 169 Kelurahan Kranjingan Kecamatan Sumbersari Kabupaten Jember Provinsi 68123,https://maps.app.goo.gl/DWwDPHUnwMtWwSoo6,,3160,,Lease,01/08/2027,-8.17,"113,70",1022840,316,,SUMBERSARI,JEMBER,JAWA TIMUR,,,"2 Oct, 2018, 02:20",v,,710,293
D32,DC MATARAM,DC,DC,ACTIVE,"Jl. TGH Lopan 105 Blok A, Desa Bagik Polaq Barat, kec. Labuapi, kab. Nusa Tenggara Barat 83361",https://maps.app.goo.gl/bryNk2HhnErcNqNN7,,1482,,Lease,30/04/2029,-8.58,"116,12",321462,92,,SANDUBAYA,MATARAM,NUSA TENGGARA BARAT,,,"29 Mar, 2019, 01:04",v,,446,92
D03,DC BALI,DC,DC,ACTIVE,"Jl. Muding Indah X No.8, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80117",https://goo.gl/maps/jHYT1QEvuRy8C1G58,,2000,,Lease,31/05/2027,-8.65,"115,22",600516,184,,KUTA UTARA,BADUNG,BALI,,,"2 Oct, 2018, 02:19",v,,601,172
D45,DC ECOMMERCE KEDIRI,DC,FC,ACTIVE,"Jl.Raya Nganjuk - Gondang, Desa Gempol, Kecamatan Rejoso, Nganjuk",https://maps.app.goo.gl/jqhcKxoWJVtfrfYN8,,,,Lease,01/12/2026,-7.56,"111,91",472894,136,,REJOSO,NGANJUK,JAWA TIMUR,,,"24 Jan, 2023, 01:22",v,,188,136
D67,DC ECOMMERCE AMBON,DC,FC,ACTIVE,"Kompleks Pergudangan Mars Blok D-3, Jl. Laksdya Leo Wattimena No.50, Negeri Lama, Passo, Baguala, Kota Ambon, Maluku",https://share.google/4iYyyjvreaq1nMx1E,,,,Lease,,"-3,63","128,25",2158,1,,,,,,,"7 Sep, 2025, 10:56",v,,#DIV/0!,1
M04,DC SHAH ALAM,DC,DC,ACTIVE,"Mapletree Logistics Hub � Jubli Shah Alam, Lot 38271, Persiaran Jubli Perak, Seksyen 22, 40300 Shah Alam, Selangor. First Floor, Unit 2.6",https://maps.app.goo.gl/c5xjiphZfJ3hS1a57,,,,Lease,,"3,05","101,55",,474,,,,,,,"28 Jul, 2025, 03:29",v,confirm ke Edis (MY),#DIV/0!,0
D48,DC TIKTOK KEDIRI,DC,FC,INACTIVE,"Jl.Raya Nganjuk - Gondang, Desa Gempol, Kecamatan Rejoso, Nganjuk",,,,,Lease,,"-7,56","111,91",,,,,,,,,"22 Aug, 2023, 06:12",x,take out,#DIV/0!,0
D66,DC ECOMMERCE PALU,DC,FC,ACTIVE,"Kompleks Ruko Graha Towua Jl. Towua, Blok A No 8 Tatura Selatan, Kec. Palu Selatan, Kota Palu, Sulawesi Tengah",https://maps.app.goo.gl/dwaH6AKkh21L49CG7?g_st=ac,,,,Lease,,"-0,93","119,88",46139,18,,,,,,,"7 Sep, 2025, 10:50",v,,#DIV/0!,14
